,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
1169,$5 - 9.9 Mil,,10-49,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=41365370&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=37553&amp;certid=415171"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=41365370&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=37553&amp;certid=415171"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.divelbiss.com/manufacturing.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.divelbiss.com/manufacturing.html"" data-cert_id=""116244"" data-cert_name=""IPC-A-610"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""37553"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">IPC-A-610</a></td></tr>\n</tbody></table>",1974'},Divelbiss Corp.,https://www.divelbiss.com/,,,,,,,,,,,,,,
1170,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Condor USA, Inc.",https://www.condor-usa.com,Custom Manufacturer,,,,,,,,,,,,,
1171,$5 - 9.9 Mil,,10-49,,Not Available,Not Available,1977'},"Hydra-Tech Pumps, Inc.",http://hydra-tech.com/,,,,,,,,,,,,,,
1172,$1 - 4.9 Mil,"David Festog, President, Senior Engineer</li><li>Sandy Jesteadt, Inside Sales and Application Assistance</li><li>Linda Costello, National Sales Manager",10-49,Manufacturer,Not Available,Not Available,1988'},"BWI Eagle, Inc.",https://www.bwieagle.com/,Custom Manufacturer,,,,,,,,,,,,,
1173,Not Available,Not Available,Not Available,Manufacturer,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.sjerhombus.com/custom_pcb/pcb-assembly/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.sjerhombus.com/custom_pcb/pcb-assembly/"" data-cert_id=""301222"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1194373"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n</tbody></table>",1975'},SJE Rhombus,https://www.sjerhombus.com/,"Custom Manufacturer, Turnkey Systems Integrator",,,,,,,,,,,,,
1174,Under $1 Mil,"Kim Martinez, Owner",10-49,Distributor,Not Available,Not Available,1978'},Basin Pump & Supply Co.,https://basinpump.com/,Service Company,,,,,,,,,,,,,
1175,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},Pump Express,http://www.pumpexpress.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1176,$5 - 9.9 Mil,,10-49,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS Compliant</td></tr>\n</tbody></table>",1956'},Harwil,https://harwil.com/,,,,,,,,,,,,,,
1177,$5 - 9.9 Mil,Not Available,10-49,Turnkey Systems Integrator,Not Available,Not Available,1980'},Optimum Controls Corporation,http://www.optimumcontrols.com/,"Manufacturer, Custom Manufacturer, Service Company",,,,,,,,,,,,,
1178,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1997'},PICS INC,http://www.picscontrols.com,"Manufacturer, Custom Manufacturer, Finishing Service Company, Turnkey Systems Integrator",,,,,,,,,,,,,
1179,$50 - 99.9 Mil,,200-499,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></td><td><a href=""http://www.bb-elec.com/Tech-Support/RoHS/ISO-Certificate.aspx"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.bb-elec.com/Tech-Support/RoHS/ISO-Certificate.aspx"" data-cert_id=""419646"" data-cert_name=""ISO 9001:2015"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""459976"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2015</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9000 (Not Specified)</td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.bb-elec.com/How-to-Buy/Government-Sales.aspx"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.bb-elec.com/How-to-Buy/Government-Sales.aspx"" data-cert_id=""222662"" data-cert_name=""GSA Approved"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""459976"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">GSA Approved</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality.aspx"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality.aspx"" data-cert_id=""222661"" data-cert_name=""Conflict Minerals Disclosure"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""459976"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Conflict Minerals Disclosure</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality/REACH_Gen_Statement_21716.aspx"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality/REACH_Gen_Statement_21716.aspx"" data-cert_id=""350902"" data-cert_name=""REACH"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""459976"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">REACH</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality.aspx"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.bb-elec.com/Tech-Support/Environmental-Compliance-and-Quality.aspx"" data-cert_id=""420887"" data-cert_name=""RoHS 2 Compliant (RoHS Recast)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""459976"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""41365370"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS 2 Compliant (RoHS Recast)</a></td></tr>\n</tbody></table>",1981'},B & B Electronics Manufacturing Co.,http://www.autotap.com,,,,,,,,,,,,,,
1180,$250 Mil. and over,Mike Lasch,1000+,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365370&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10066837&amp;certid=315826"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=41365370&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=10066837&amp;certid=315826"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>",Not Available,Not Available'},"Unico, Inc.",https://www.unicous.com/,,,,,,,,,,,,,,
1181,Not Available,,Not Available,,,,Not Available'},Schneider Electric,https://www.se.com/us/en/,,,,,,,,,,,,,,
1182,$1 - 4.9 Mil,"Bob Rhees, Dir., Engineering",10-49,Turnkey Systems Integrator,Not Available,Not Available,1972'},"Sierra Control Systems, Inc.",Failed,Manufacturer,Not Available,,,,,,,,,,,,
1183,$1 - 4.9 Mil,Not Available,50-99,Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=41365370&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=20050371&amp;certid=428235"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=41365370&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=20050371&amp;certid=428235"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1985'},Tornatech,https://www.tornatech.com/en/,,,,,,,,,,,,,,
1184,$1 - 4.9 Mil,"Peter Lee, Sales Technician",1-9,Distributor,Not Available,Not Available,1963'},Switches Unlimited,http://www.switchesunlimited.com/,"Manufacturer, Custom Manufacturer, Service Company",,,,,,,,,,,,,
1185,$1 - 4.9 Mil,"Bruce Jacobson, Sales Mgr.",10-49,Distributor,Not Available,Not Available,1996'},Apex Pumping Equipment,http://www.262apex.com/index.html,"Manufacturer, Custom Manufacturer, Service Company",,,,,,,,,,,,,
1186,Not Available,Not Available,Not Available,Custom Manufacturer,Not Available,Not Available,Not Available'},"Applied Motor Controls, LLC",https://amclp.com/,,,,,,,,,,,,,,
1187,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Hydropoint Data Systems, Inc",https://www.hydropoint.com/,,,,,,,,,,,,,,
1188,$5 - 9.9 Mil,"Matt Reine, Mgr.",1-9,Distributor,Not Available,Not Available,1986'},"Fluid Systems, Inc.",http://www.fluidsystems.net,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1189,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Hydro-Rain,https://www.hydrorain.com,,,,,,,,,,,,,,
1190,$5 - 9.9 Mil,Not Available,10-49,,Not Available,Not Available,1965'},Munro,https://www.munropump.com/Home,,,,,,,,,,,,,,
1191,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},UgMO Technologies,Failed,,Not Available,,,,,,,,,,,,
1192,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Rainmaker Pump Stations,http://www.rainmakerpumpstations.com/,,,,,,,,,,,,,,
1193,$250 Mil. and over,Not Available,500-999,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001:2008</td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Six Sigma</td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Lean Manufacturing</td></tr>\n</tbody></table>",1976'},"Godwin, A Xylem Brand",https://www.xylem.com/en-us/brands/godwin,,,,,,,,,,,,,,
1194,$1 - 4.9 Mil,Not Available,1-9,Distributor,Not Available,Not Available,2004'},AB Industrial,http://www.abpump.com,Service Company,,,,,,,,,,,,,
1195,$10 - 24.9 Mil,,50-99,,Not Available,Not Available,Not Available'},W.P. Law Inc.,http://www.wplawinc.com,,,,,,,,,,,,,,
1196,$25 - 49.9 Mil,,200-499,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></td><td><a href=""https://www.thompsonpump.com/z/-vf.0.0.0.192.49F47DF36A5E75FF2B5E3F1DB0ED45D4DCBA0BEDA0305250277959536054E767"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.thompsonpump.com/z/-vf.0.0.0.192.49F47DF36A5E75FF2B5E3F1DB0ED45D4DCBA0BEDA0305250277959536054E767"" data-cert_id=""441707"" data-cert_name=""ISO 9001:2015"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""755140"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64019003"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64019003&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=755140&amp;certid=102578"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=64019003&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=755140&amp;certid=102578"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.thompsonpump.com/GSA-6-33.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.thompsonpump.com/GSA-6-33.html"" data-cert_id=""102584"" data-cert_name=""GSA Approved"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""755140"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64019003"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">GSA Approved</a></td></tr>\n</tbody></table>",1970'},"Thompson Pump & Manufacturing Co., Inc.",https://www.thompsonpump.com/,,,,,,,,,,,,,,
1197,$1 - 4.9 Mil,,10-49,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.pumpman.com/confined-space-entry/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.pumpman.com/confined-space-entry/"" data-cert_id=""300684"" data-cert_name=""Drug-Free Workplace Program"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""981643"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64019003"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Drug-Free Workplace Program</a></td></tr>\n</tbody></table>",1977'},"PumpMan, Inc.",https://pumpman.com/,,,,,,,,,,,,,,
1198,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1998'},"Cycle Stop Valves, Inc.",http://www.cyclestopvalves.com,,,,,,,,,,,,,,
1199,$250 Mil. and over,Not Available,500-999,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://www.xylem.com/en-us/about-xylem/conflict-minerals-policy-statement/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://www.xylem.com/en-us/about-xylem/conflict-minerals-policy-statement/"" data-cert_id=""279744"" data-cert_name=""Conflict Minerals Disclosure"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30592933"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""64019003"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Conflict Minerals Disclosure</a></td></tr>\n</tbody></table>",2011'},"Xylem, Inc.",https://www.xylem.com/en-us,,,,,,,,,,,,,,
1200,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1984'},REPACO (Refrigeration Package Corp.),https://www.repaco.net/,Manufacturer,,,,,,,,,,,,,
1201,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,Not Available'},Pump Express,http://www.pumpexpress.com,"Custom Manufacturer, Service Company",,,,,,,,,,,,,
1202,Not Available,,Not Available,,Not Available,Not Available,Not Available'},"Kana Pipeline, Inc.",https://www.kanapipeline.com/,,,,,,,,,,,,,,
1203,Under $1 Mil,,1-9,Distributor,Not Available,Not Available,1985'},"Pumps, Inc",http://www.pumpsinc.net,,,,,,,,,"Ethan Myers, President",,,,,
1204,$5 - 9.9 Mil,"Dan Pritchard, Dir., Sales &amp; Marketing</li><li>Justin Welder, Sales Mgr.",10-49,,Not Available,Not Available,Not Available'},"KM Specialty Pumps & Systems, Inc.",http://www.kmspecialty.com,,,,,,,,,,,,,,
1205,Under $1 Mil,Not Available,1-9,Manufacturer,Not Available,Not Available,2014'},Sencillo Systems,http://www.sencillosystems.com,Custom Manufacturer,,,,,,,,,,,,,
1206,$5 - 9.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1971'},Hydro Engineering,http://www.hydro-eng.com,Custom Manufacturer,,,,,,,,,,,,,
1207,Under $1 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,1963'},SyncroFlo,http://www.syncroflo.com,Custom Manufacturer,,,,,,,,,,,,,
1208,Not Available,"Joe Muphy, Marketing",Not Available,Distributor,Not Available,Not Available,Not Available'},Aquatech Dewatering and Pumping Technologies Inc.,http://aquatechpumping.com/,Service Company,,,,,,,,,,,,,
1209,$1 - 4.9 Mil,,10-49,,Not Available,Not Available,1984'},"Robert Brown Associates, Inc.",https://rbapump.com/,,,,,,,,,,,,,,
